gen,island,rle_novelty,ae_novelty,diversity,temp,seed
8,"(0, 2)",0.4920000000000001,0.6635614218556746,0.04903060268852506,0.5,1234
8,"(0, 4)",0.5100000000000001,0.6757265975715956,0.03794733192202056,0.5,1234
8,"(1, 1)",0.5700000000000001,0.6611707062530419,0.03693237062523879,0.5,1234
8,"(1, 3)",0.49800000000000005,0.6728071468069636,0.08,0.5,1234
8,"(2, 0)",0.558,0.6384522373044091,0.051730068625510245,0.5,1234
8,"(2, 2)",0.524,0.6501443483418616,0.02891366458960193,0.5,1234
8,"(2, 4)",0.508,0.6625298585452749,0.04753945729601887,0.5,1234
8,"(3, 1)",0.516,0.67044835880563,0.05425863986500215,0.5,1234
8,"(3, 3)",0.518,0.6459865255407448,0.034698703145794936,0.5,1234
9,"(0, 0)",0.53,0.6582971803015103,0.03709447398198282,0.5,1234
9,"(0, 2)",0.514,0.6657506653309818,0.05399999999999999,0.5,1234
9,"(0, 4)",0.47800000000000004,0.6735249991371138,0.04715930449020639,0.5,1234
9,"(1, 1)",0.524,0.6671966043383565,0.05868560300448484,0.5,1234
9,"(1, 3)",0.518,0.6691629062273038,0.07102112361825882,0.5,1234
9,"(2, 0)",0.568,0.6454863776144066,0.03841874542459709,0.5,1234
9,"(2, 2)",0.54,0.6553661994423965,0.04214261501141098,0.5,1234
9,"(2, 4)",0.5119999999999999,0.6663244067077541,0.04308131845707604,0.5,1234
9,"(3, 1)",0.516,0.670200946815437,0.028913664589601915,0.5,1234
9,"(3, 3)",0.48,0.6384766081089528,0.03878143885933062,0.5,1234
10,"(0, 0)",0.518,0.6629991348142116,0.06225752966509351,0.5,1234
10,"(0, 2)",0.462,0.6734104370589659,0.040249223594996233,0.5,1234
10,"(0, 4)",0.45199999999999996,0.6779944931235663,0.04669047011971501,0.5,1234
10,"(1, 1)",0.56,0.6682262022411178,0.04816637831516917,0.5,1234
10,"(1, 3)",0.5519999999999999,0.6654696814736758,0.04294182110716779,0.5,1234
10,"(2, 0)",0.5200000000000001,0.6598893948859849,0.06740919818541088,0.5,1234
10,"(2, 2)",0.568,0.6573467168863566,0.054258639865002144,0.5,1234
10,"(2, 4)",0.508,0.6610195437132345,0.05425863986500215,0.5,1234
10,"(3, 1)",0.5200000000000001,0.6681286092376779,0.03898717737923587,0.5,1234
10,"(3, 3)",0.508,0.6454161473735953,0.05000000000000002,0.5,1234
11,"(0, 0)",0.542,0.6589261534029887,0.06415605972938176,0.5,1234
11,"(0, 2)",0.4720000000000001,0.6684711126690989,0.05366563145999495,0.5,1234
11,"(0, 4)",0.49000000000000005,0.6683382203373563,0.032310988842807024,0.5,1234
11,"(1, 1)",0.554,0.6686580476609564,0.0454312667664022,0.5,1234
11,"(1, 3)",0.526,0.6719965638572759,0.04312771730569567,0.5,1234
11,"(2, 0)",0.51,0.6518745670134448,0.05249761899362676,0.5,1234
11,"(2, 2)",0.5440000000000002,0.6585324786987127,0.05589275444992848,0.5,1234
11,"(2, 4)",0.492,0.66108963838508,0.051575187832910506,0.5,1234
11,"(3, 1)",0.506,0.6671937813358833,0.046518813398452014,0.5,1234
11,"(3, 3)",0.476,0.6429531713413841,0.06013318551349164,0.5,1234
12,"(0, 0)",0.514,0.6616286081633995,0.05043808085167396,0.5,1234
12,"(0, 2)",0.458,0.6564457088873018,0.053065996645686404,0.5,1234
12,"(0, 4)",0.48200000000000004,0.6793772375966547,0.06029925372672536,0.5,1234
12,"(1, 1)",0.5359999999999999,0.6702824482838609,0.03878143885933065,0.5,1234
12,"(1, 3)",0.5280000000000001,0.6715419176533547,0.03400000000000001,0.5,1234
12,"(2, 0)",0.5119999999999999,0.6525839365361599,0.05878775382679627,0.5,1234
12,"(2, 2)",0.52,0.6581500131043292,0.039038442591886276,0.5,1234
12,"(2, 4)",0.534,0.6590703127361469,0.05366563145999496,0.5,1234
12,"(3, 1)",0.49399999999999994,0.6717538303850011,0.0351567916624939,0.5,1234
12,"(3, 3)",0.49000000000000005,0.6439147648864912,0.05141984052872975,0.5,1234
13,"(0, 0)",0.542,0.656312995837667,0.031048349392520075,0.5,1234
13,"(0, 2)",0.506,0.6576564539904646,0.04454211490264018,0.5,1234
13,"(0, 4)",0.504,0.6683208713349172,0.04044749683231337,0.5,1234
13,"(1, 1)",0.534,0.6648535262687273,0.04363484845854285,0.5,1234
13,"(1, 3)",0.542,0.6712485151728281,0.0454312667664022,0.5,1234
13,"(2, 0)",0.514,0.6600133481592746,0.03687817782917156,0.5,1234
13,"(2, 2)",0.534,0.6471323632063241,0.05381449618829484,0.5,1234
13,"(2, 4)",0.4720000000000001,0.6537386830334362,0.0523450093132096,0.5,1234
13,"(3, 1)",0.4960000000000001,0.6659502240866328,0.047707441767506256,0.5,1234
13,"(3, 3)",0.462,0.6413054777617476,0.05063595560468864,0.5,1234
14,"(0, 0)",0.48200000000000004,0.665324923632672,0.07155417527999328,0.5,1234
14,"(0, 2)",0.548,0.6634787823159654,0.050950956811428,0.5,1234
14,"(0, 4)",0.526,0.6817696033449744,0.04195235392680606,0.5,1234
14,"(1, 1)",0.52,0.661708974089601,0.034928498393145976,0.5,1234
14,"(1, 3)",0.53,0.6681868196339793,0.03555277766926237,0.5,1234
14,"(2, 0)",0.528,0.6526375266448597,0.04422668877499195,0.5,1234
14,"(2, 2)",0.5400000000000001,0.6578148420413331,0.06053098380168622,0.5,1234
14,"(2, 4)",0.43600000000000005,0.6562731169730859,0.04749736834815168,0.5,1234
14,"(3, 1)",0.538,0.6618380433960452,0.059363288318623336,0.5,1234
14,"(3, 3)",0.476,0.6443391439940492,0.04044749683231338,0.5,1234
15,"(0, 0)",0.492,0.6594481880674088,0.03878143885933064,0.5,1234
15,"(0, 2)",0.536,0.6634148539174926,0.04715930449020639,0.5,1234
15,"(0, 4)",0.548,0.6825126334195458,0.046303347611160915,0.5,1234
15,"(1, 1)",0.53,0.6691510906609967,0.04308131845707604,0.5,1234
15,"(1, 3)",0.558,0.679244603224774,0.04289522117905444,0.5,1234
15,"(2, 0)",0.554,0.6622546980603322,0.05400000000000001,0.5,1234
15,"(2, 2)",0.57,0.6554623399733782,0.024413111231467426,0.5,1234
15,"(2, 4)",0.484,0.6575443411112982,0.05043808085167397,0.5,1234
15,"(3, 1)",0.558,0.6674873511473051,0.04963869458396342,0.5,1234
15,"(3, 3)",0.48599999999999993,0.6593671402200244,0.05276362383309168,0.5,1234
16,"(0, 0)",0.51,0.6656510143832479,0.04915282290977804,0.5,1234
16,"(0, 2)",0.538,0.6674690096305311,0.04882622246293482,0.5,1234
16,"(0, 4)",0.52,0.6830138556046699,0.06437390775772432,0.5,1234
16,"(1, 1)",0.5120000000000001,0.664306166921299,0.0535163526410386,0.5,1234
16,"(1, 3)",0.5519999999999999,0.6692186190127651,0.04715930449020639,0.5,1234
16,"(2, 0)",0.504,0.6530547444130477,0.03687817782917155,0.5,1234
16,"(2, 2)",0.5660000000000001,0.6508070538062187,0.03944616584663204,0.5,1234
16,"(2, 4)",0.5320000000000001,0.6550083803633006,0.04195235392680606,0.5,1234
16,"(3, 1)",0.5660000000000001,0.6662384748199215,0.036055512754639904,0.5,1234
16,"(3, 3)",0.454,0.6414833967447288,0.0614817045957576,0.5,1234
17,"(0, 0)",0.5480000000000002,0.6605810067148813,0.05276362383309167,0.5,1234
17,"(0, 2)",0.514,0.6611445470299301,0.04903060268852504,0.5,1234
17,"(0, 4)",0.532,0.6778619917633978,0.057131427428342804,0.5,1234
17,"(1, 1)",0.5,0.6691385404097984,0.05,0.5,1234
17,"(1, 3)",0.55,0.6688029978208455,0.05122499389946278,0.5,1234
17,"(2, 0)",0.548,0.6590615693826576,0.0447213595499958,0.5,1234
17,"(2, 2)",0.5640000000000001,0.6516768557840062,0.02993325909419155,0.5,1234
17,"(2, 4)",0.492,0.6608155586986573,0.039799497484264805,0.5,1234
17,"(3, 1)",0.554,0.6645474816614965,0.07102112361825882,0.5,1234
17,"(3, 3)",0.492,0.6449126042617838,0.07539230729988305,0.5,1234
18,"(0, 0)",0.5439999999999999,0.6586296670678216,0.041761226035642196,0.5,1234
18,"(0, 2)",0.5159999999999999,0.6669994134315335,0.05617828762075255,0.5,1234
18,"(0, 4)",0.5040000000000001,0.6718718039406548,0.047707441767506256,0.5,1234
18,"(1, 1)",0.516,0.6681913999996834,0.03815756805667783,0.5,1234
18,"(1, 3)",0.542,0.6727595724467251,0.044899888641287314,0.5,1234
18,"(2, 0)",0.5080000000000001,0.6537652663891557,0.05878775382679629,0.5,1234
18,"(2, 2)",0.544,0.6489066228229684,0.0705691150575094,0.5,1234
18,"(2, 4)",0.454,0.6584608361246173,0.04915282290977803,0.5,1234
18,"(3, 1)",0.55,0.6616731655257484,0.038209946349085616,0.5,1234
18,"(3, 3)",0.508,0.6430197538379122,0.066332495807108,0.5,1234
19,"(0, 0)",0.5980000000000001,0.6556453271779362,0.05351635264103861,0.5,1234
19,"(0, 2)",0.5260000000000001,0.6640883711788228,0.05219195340279955,0.5,1234
19,"(0, 4)",0.488,0.6704810832647545,0.0712460525222275,0.5,1234
19,"(1, 1)",0.514,0.6629867919310323,0.04044749683231338,0.5,1234
19,"(1, 3)",0.508,0.6651972573858344,0.047999999999999994,0.5,1234
19,"(2, 0)",0.518,0.6595271507854609,0.05,0.5,1234
19,"(2, 2)",0.56,0.6529659262418647,0.0256124969497314,0.5,1234
19,"(2, 4)",0.492,0.6642385836410167,0.0515363949069005,0.5,1234
19,"(3, 1)",0.542,0.6550014321263499,0.04399999999999999,0.5,1234
19,"(3, 3)",0.5279999999999999,0.6365976517936167,0.04472135954999582,0.5,1234
20,"(0, 0)",0.54,0.6626044139297353,0.054258639865002144,0.5,1234
20,"(0, 2)",0.528,0.6699527889488357,0.041182520563948,0.5,1234
20,"(0, 4)",0.5,0.6805559718407163,0.05919459434779498,0.5,1234
20,"(1, 1)",0.49800000000000005,0.661475156861041,0.038987177379235856,0.5,1234
20,"(1, 3)",0.56,0.6656753740376257,0.04476605857119878,0.5,1234
20,"(2, 0)",0.48,0.6590091931347549,0.05741080037762929,0.5,1234
20,"(2, 2)",0.5379999999999999,0.6590178637355933,0.04995998398718719,0.5,1234
20,"(2, 4)",0.51,0.6686874798151291,0.04578209256903838,0.5,1234
20,"(3, 1)",0.5700000000000001,0.6615851771960638,0.07031358332498779,0.5,1234
20,"(3, 3)",0.5080000000000001,0.6348952601802537,0.03903844259188627,0.5,1234
21,"(0, 0)",0.534,0.6632448366551712,0.06752777206453653,0.5,1234
21,"(0, 2)",0.532,0.6685364270582379,0.050159744815937816,0.5,1234
21,"(0, 4)",0.45999999999999996,0.6741925190494459,0.06720119046564577,0.5,1234
21,"(1, 1)",0.516,0.6665337760453063,0.0448998886412873,0.5,1234
21,"(1, 3)",0.526,0.6702884345441208,0.045607017003965515,0.5,1234
21,"(2, 0)",0.48200000000000004,0.6491777970596254,0.047159304490206375,0.5,1234
21,"(2, 2)",0.526,0.6510590504298849,0.049030602688525056,0.5,1234
21,"(2, 4)",0.5000000000000001,0.670839507574873,0.06974238309665078,0.5,1234
21,"(3, 1)",0.5680000000000002,0.6736159735514566,0.034409301068170514,0.5,1234
21,"(3, 3)",0.49399999999999994,0.6415974705044355,0.05219195340279956,0.5,1234
22,"(0, 0)",0.5120000000000001,0.6621389841079208,0.05249761899362674,0.5,1234
22,"(0, 2)",0.5359999999999999,0.6693504087167083,0.03370459909270544,0.5,1234
22,"(0, 4)",0.4700000000000001,0.6831221852087503,0.04749736834815167,0.5,1234
22,"(1, 1)",0.5,0.6716327474801509,0.034,0.5,1234
22,"(1, 3)",0.534,0.6657868350805249,0.049030602688525056,0.5,1234
22,"(2, 0)",0.514,0.6510221839685548,0.0448998886412873,0.5,1234
22,"(2, 2)",0.5439999999999999,0.6455252402174531,0.06499230723708767,0.5,1234
22,"(2, 4)",0.508,0.6593859631380047,0.05936328831862333,0.5,1234
22,"(3, 1)",0.544,0.6730547133625341,0.035832945734337845,0.5,1234
22,"(3, 3)",0.5599999999999999,0.6382931915252873,0.04019950248448356,0.5,1234
23,"(0, 0)",0.5820000000000001,0.6638862141259547,0.047370877129308056,0.5,1234
23,"(0, 2)",0.506,0.6555726883554922,0.07432361670424818,0.5,1234
23,"(0, 4)",0.5079999999999999,0.677532820073602,0.05425863986500217,0.5,1234
23,"(1, 1)",0.492,0.6648120498968016,0.05670978751503131,0.5,1234
23,"(1, 3)",0.554,0.6662838555788302,0.04983974317750846,0.5,1234
23,"(2, 0)",0.514,0.6543343632691057,0.03255764119219942,0.5,1234
23,"(2, 2)",0.5800000000000001,0.6561626828246834,0.0438178046004133,0.5,1234
23,"(2, 4)",0.522,0.6625258074699812,0.07820485918406862,0.5,1234
23,"(3, 1)",0.544,0.6771800118292876,0.04753945729601887,0.5,1234
23,"(3, 3)",0.546,0.6435534963012408,0.05878775382679627,0.5,1234
24,"(0, 0)",0.6,0.6574896967176876,0.028284271247461912,0.5,1234
24,"(0, 2)",0.49000000000000005,0.6513986441417919,0.06462197768561405,0.5,1234
24,"(0, 4)",0.492,0.6694669843613811,0.04294182110716779,0.5,1234
24,"(1, 1)",0.47400000000000003,0.663159012336862,0.06196773353931868,0.5,1234
24,"(1, 3)",0.608,0.6671920729118854,0.04331281565541543,0.5,1234
24,"(2, 0)",0.52,0.6516440244529896,0.027129319932501075,0.5,1234
24,"(2, 2)",0.55,0.6565215717673196,0.04019950248448357,0.5,1234
24,"(2, 4)",0.49800000000000005,0.6689185250821836,0.06514598989960933,0.5,1234
24,"(3, 1)",0.546,0.6665039214760913,0.0515751878329105,0.5,1234
24,"(3, 3)",0.53,0.6341367278177459,0.04103656905736638,0.5,1234
25,"(0, 0)",0.5599999999999999,0.6551581414384533,0.0448998886412873,0.5,1234
25,"(0, 2)",0.488,0.6564709829851454,0.06260990336999411,0.5,1234
25,"(0, 4)",0.5039999999999999,0.6795517987248361,0.06954135460285484,0.5,1234
25,"(1, 1)",0.49399999999999994,0.6634250364170148,0.06681317235396025,0.5,1234
25,"(1, 3)",0.568,0.6632420232366143,0.030724582991474438,0.5,1234
25,"(2, 0)",0.488,0.6584144882929645,0.05015974481593781,0.5,1234
25,"(2, 2)",0.49800000000000005,0.6551082133937313,0.06705221845696084,0.5,1234
25,"(2, 4)",0.5239999999999999,0.6657771281356573,0.06095900261651268,0.5,1234
25,"(3, 1)",0.522,0.6685340876015679,0.03944616584663204,0.5,1234
25,"(3, 3)",0.526,0.6361165887072358,0.040447496832313364,0.5,1234
