gen,island,rle_novelty,diversity,temp,seed
4,"(1, 1)",0.546,0.04162631379308045,0.5,1234
4,"(1, 3)",0.5215,0.04543952024394624,0.5,1234
4,"(2, 0)",0.48999999999999994,0.04042276586281547,0.5,1234
4,"(2, 2)",0.48650000000000004,0.033600595232822904,0.5,1234
4,"(2, 4)",0.5235,0.030899029110960777,0.5,1234
4,"(3, 1)",0.5235000000000001,0.032011716605018246,0.5,1234
4,"(3, 3)",0.5255000000000001,0.04069397989875163,0.5,1234
5,"(0, 0)",0.5045,0.04060788100849392,0.5,1234
5,"(0, 2)",0.4685,0.04348562981031781,0.5,1234
5,"(0, 4)",0.49700000000000005,0.04462062303464623,0.5,1234
5,"(1, 1)",0.525,0.02539192785118926,0.5,1234
5,"(1, 3)",0.5075000000000001,0.030561413579872253,0.5,1234
5,"(2, 0)",0.4959999999999999,0.024140215409146636,0.5,1234
5,"(2, 2)",0.488,0.03758656674930553,0.5,1234
5,"(2, 4)",0.496,0.04028337125911884,0.5,1234
5,"(3, 1)",0.518,0.04283398183685472,0.5,1234
5,"(3, 3)",0.5375,0.03955692101263698,0.5,1234
6,"(0, 0)",0.5155000000000001,0.03217141588429083,0.5,1234
6,"(0, 2)",0.48250000000000004,0.03169779172119093,0.5,1234
6,"(0, 4)",0.5150000000000001,0.035703641270884406,0.5,1234
6,"(1, 1)",0.5075000000000001,0.029576172842340508,0.5,1234
6,"(1, 3)",0.524,0.036369630187836684,0.5,1234
6,"(2, 0)",0.5130000000000001,0.04128861828639947,0.5,1234
6,"(2, 2)",0.5045,0.02692118125194362,0.5,1234
6,"(2, 4)",0.5005,0.034332928800205796,0.5,1234
6,"(3, 1)",0.5139999999999999,0.037496666518505355,0.5,1234
6,"(3, 3)",0.5395000000000001,0.034996428389194235,0.5,1234
7,"(0, 0)",0.4884999999999999,0.03636963018783668,0.5,1234
7,"(0, 2)",0.5080000000000001,0.047812132351527675,0.5,1234
7,"(0, 4)",0.5035000000000001,0.042023802778901394,0.5,1234
7,"(1, 1)",0.505,0.04010922587136282,0.5,1234
7,"(1, 3)",0.49750000000000016,0.03746998799039039,0.5,1234
7,"(2, 0)",0.5305,0.03631459761583489,0.5,1234
7,"(2, 2)",0.5205,0.037719358425084615,0.5,1234
7,"(2, 4)",0.5065,0.04563715591489024,0.5,1234
7,"(3, 1)",0.4985000000000001,0.03254228019054597,0.5,1234
7,"(3, 3)",0.556,0.031855140872392974,0.5,1234
8,"(0, 0)",0.5135000000000001,0.02833284313301438,0.5,1234
8,"(0, 2)",0.5125,0.023000000000000003,0.5,1234
8,"(0, 4)",0.507,0.03134884367883448,0.5,1234
8,"(1, 1)",0.526,0.04721228653645151,0.5,1234
8,"(1, 3)",0.5055,0.02954234249344491,0.5,1234
8,"(2, 0)",0.5109999999999999,0.03238440982942255,0.5,1234
8,"(2, 2)",0.5305000000000001,0.03529872518944559,0.5,1234
8,"(2, 4)",0.5395,0.024591665254715896,0.5,1234
8,"(3, 1)",0.4835,0.03144837038703277,0.5,1234
8,"(3, 3)",0.526,0.03031501278244826,0.5,1234
9,"(0, 0)",0.48650000000000004,0.04581211630125812,0.5,1234
9,"(0, 2)",0.5215,0.04053085244600711,0.5,1234
9,"(0, 4)",0.5135,0.029563490998188967,0.5,1234
9,"(1, 1)",0.5335000000000001,0.02885740806101616,0.5,1234
9,"(1, 3)",0.483,0.0386619968444466,0.5,1234
