gen,island,rle_novelty,diversity,temp,seed
3,"(3, 3)",0.501,0.026076809620810607,0.5,1234
4,"(0, 0)",0.518,0.0379835490706174,0.5,1234
4,"(0, 2)",0.5305,0.03367491648096548,0.5,1234
4,"(0, 4)",0.5385000000000001,0.04170131892398609,0.5,1234
4,"(1, 1)",0.5375,0.03263433774416145,0.5,1234
4,"(1, 3)",0.5095,0.04639773701378118,0.5,1234
4,"(2, 0)",0.5245,0.03878143885933065,0.5,1234
4,"(2, 2)",0.47850000000000004,0.029000000000000005,0.5,1234
4,"(2, 4)",0.5040000000000001,0.035846896657869845,0.5,1234
4,"(3, 1)",0.532,0.03345145736735547,0.5,1234
4,"(3, 3)",0.5005,0.03039736830714134,0.5,1234
5,"(0, 0)",0.5255000000000001,0.033596874854664685,0.5,1234
5,"(0, 2)",0.5089999999999999,0.03300000000000001,0.5,1234
5,"(0, 4)",0.5375000000000001,0.032924155266308666,0.5,1234
5,"(1, 1)",0.5195,0.02954234249344491,0.5,1234
5,"(1, 3)",0.5050000000000001,0.042308391602612364,0.5,1234
5,"(2, 0)",0.5305,0.029563490998188977,0.5,1234
5,"(2, 2)",0.4965,0.026052830940226077,0.5,1234
5,"(2, 4)",0.5160000000000001,0.025937424698685898,0.5,1234
5,"(3, 1)",0.5174999999999998,0.03953163290328392,0.5,1234
5,"(3, 3)",0.4995000000000001,0.03636963018783666,0.5,1234
6,"(0, 0)",0.507,0.03398529093593286,0.5,1234
6,"(0, 2)",0.5010000000000001,0.04299709292498739,0.5,1234
6,"(0, 4)",0.547,0.030413812651491113,0.5,1234
6,"(1, 1)",0.5189999999999999,0.035110539728121545,0.5,1234
6,"(1, 3)",0.49250000000000005,0.040877866871939415,0.5,1234
6,"(2, 0)",0.5315000000000001,0.029979159427842548,0.5,1234
6,"(2, 2)",0.5155,0.028284271247461912,0.5,1234
6,"(2, 4)",0.5105,0.029580398915498088,0.5,1234
6,"(3, 1)",0.5565,0.037563279941985904,0.5,1234
6,"(3, 3)",0.5199999999999999,0.03292415526630865,0.5,1234
7,"(0, 0)",0.5185000000000001,0.034842502780368705,0.5,1234
7,"(0, 2)",0.49399999999999994,0.032074132879939245,0.5,1234
7,"(0, 4)",0.5485,0.027290108097990387,0.5,1234
7,"(1, 1)",0.5115,0.03275286247032464,0.5,1234
7,"(1, 3)",0.5069999999999999,0.04030818775385469,0.5,1234
7,"(2, 0)",0.5155000000000001,0.03389321466016466,0.5,1234
7,"(2, 2)",0.5189999999999999,0.022422087324778673,0.5,1234
7,"(2, 4)",0.4925,0.05739337940912698,0.5,1234
7,"(3, 1)",0.5445,0.0406201920231798,0.5,1234
7,"(3, 3)",0.5250000000000001,0.03603817420458478,0.5,1234
8,"(0, 0)",0.5125,0.03707762128292483,0.5,1234
8,"(0, 2)",0.503,0.03898717737923588,0.5,1234
8,"(0, 4)",0.527,0.03132091952673166,0.5,1234
8,"(1, 1)",0.533,0.0292574776766556,0.5,1234
8,"(1, 3)",0.49450000000000005,0.027568097504180464,0.5,1234
8,"(2, 0)",0.5105000000000002,0.04598912915026767,0.5,1234
8,"(2, 2)",0.5095,0.04631144566951026,0.5,1234
8,"(2, 4)",0.49749999999999994,0.03427462618322774,0.5,1234
8,"(3, 1)",0.5265,0.04121589499210225,0.5,1234
8,"(3, 3)",0.521,0.02782085548648712,0.5,1234
9,"(0, 0)",0.5120000000000001,0.026809513236909034,0.5,1234
9,"(0, 2)",0.49350000000000005,0.033686050525402945,0.5,1234
9,"(0, 4)",0.5184999999999998,0.035085609585697675,0.5,1234
9,"(1, 1)",0.5145000000000001,0.031717503054307414,0.5,1234
9,"(1, 3)",0.471,0.02293468988235944,0.5,1234
9,"(2, 0)",0.5184999999999998,0.036810324638611926,0.5,1234
9,"(2, 2)",0.5125,0.03138470965295044,0.5,1234
9,"(2, 4)",0.49800000000000005,0.025937424698685888,0.5,1234
9,"(3, 1)",0.5219999999999999,0.03880721582386452,0.5,1234
9,"(3, 3)",0.512,0.028301943396169833,0.5,1234
10,"(0, 0)",0.49799999999999994,0.04428317965096907,1.0,1234
10,"(0, 2)",0.48349999999999993,0.029744747435471706,1.0,1234
10,"(0, 4)",0.5195000000000001,0.033181320046074124,1.0,1234
10,"(1, 1)",0.49750000000000005,0.03691544392256444,1.0,1234
10,"(1, 3)",0.4875000000000001,0.03954743986657039,1.0,1234
10,"(2, 0)",0.5175000000000001,0.03284813541131369,1.0,1234
10,"(2, 2)",0.504,0.031666228067138036,1.0,1234
10,"(2, 4)",0.506,0.03675595189897822,1.0,1234
10,"(3, 1)",0.5174999999999998,0.03323777970924051,1.0,1234
10,"(3, 3)",0.5169999999999999,0.03315116890850156,1.0,1234
11,"(0, 0)",0.502,0.043344549830399655,0.8582656552868946,1234
11,"(0, 2)",0.49349999999999994,0.031843366656181336,0.8582656552868946,1234
11,"(0, 4)",0.5245,0.03380458548777074,0.8582656552868946,1234
11,"(1, 1)",0.5040000000000001,0.03570364127088439,0.8582656552868946,1234
11,"(1, 3)",0.509,0.038340579025361636,0.8582656552868946,1234
11,"(2, 0)",0.5265000000000001,0.032167530212933663,0.8582656552868946,1234
11,"(2, 2)",0.48999999999999994,0.039683119837028956,0.8582656552868946,1234
11,"(2, 4)",0.5105,0.05073460357586329,0.8582656552868946,1234
11,"(3, 1)",0.499,0.047778133073614344,0.8582656552868946,1234
11,"(3, 3)",0.5225,0.03345145736735547,0.8582656552868946,1234
12,"(0, 0)",0.495,0.03293554311074889,0.6839397205857212,1234
12,"(0, 2)",0.485,0.03800986713999406,0.6839397205857212,1234
12,"(0, 4)",0.511,0.04243819034784589,0.6839397205857212,1234
