gen,island,rle_novelty,diversity,temp,resource,seed
3,"(2, 0)",0.5126666666666667,0.03649048582241069,0.5,0.9452642712663847,1234
3,"(2, 2)",0.4926666666666666,0.03006659275674582,0.5,0.9549001108648816,1234
3,"(2, 4)",0.5,0.04891716354091771,0.5,0.926624254688623,1234
3,"(3, 1)",0.5173333333333333,0.029709706606876263,0.5,0.9554354400896855,1234
3,"(3, 3)",0.5153333333333333,0.037452191747168385,0.5,0.9438217123792477,1234
4,"(0, 0)",0.504,0.039474323581566564,0.5,0.9407885146276503,1234
4,"(0, 2)",0.5226666666666666,0.03659993928349549,0.5,0.9451000910747561,1234
4,"(0, 4)",0.4886666666666667,0.05262023269512297,0.5,0.9210696509573154,1234
4,"(1, 1)",0.49466666666666664,0.036660605559646724,0.5,0.9450090916605305,1234
4,"(1, 3)",0.5486666666666667,0.030433899228035553,0.5,0.9543491511579474,1234
4,"(2, 0)",0.49133333333333334,0.040110957217310214,0.5,0.9398335641740354,1234
4,"(2, 2)",0.5346666666666666,0.0222710574513201,0.5,0.9665934138230206,1234
4,"(2, 4)",0.5053333333333333,0.03283629428273268,0.5,0.9507455585759003,1234
4,"(3, 1)",0.5053333333333333,0.03464101615137755,0.5,0.9480384757729334,1234
4,"(3, 3)",0.5139999999999999,0.021540659228538032,0.5,0.9676890111571925,1234
5,"(0, 0)",0.5226666666666666,0.03222145592958554,0.5,0.9516678161056221,1234
5,"(0, 2)",0.5186666666666667,0.034615346628659144,0.5,0.9480769800570112,1234
5,"(0, 4)",0.47733333333333333,0.04611097724210821,0.5,0.930833534136837,1234
5,"(1, 1)",0.5086666666666667,0.03279566366999693,0.5,0.950806504495005,1234
5,"(1, 3)",0.5433333333333333,0.025681813712344303,0.5,0.9614772794314843,1234
5,"(2, 0)",0.5146666666666666,0.03220765954448311,0.5,0.9516885106832753,1234
5,"(2, 2)",0.5199999999999999,0.0392371705854991,0.5,0.9411442441217518,1234
5,"(2, 4)",0.5120000000000001,0.039305074594623145,0.5,0.9410423881080651,1234
5,"(3, 1)",0.5186666666666666,0.030868898407440618,0.5,0.9536966523888398,1234
5,"(3, 3)",0.5126666666666666,0.035938218591849494,0.5,0.946092672112225,1234
6,"(0, 0)",0.5326666666666667,0.04057366414587452,0.5,0.9391395037811886,1234
6,"(0, 2)",0.5366666666666667,0.03590109871423003,0.5,0.9461483519286542,1234
6,"(0, 4)",0.4960000000000001,0.0492431608336517,0.5,0.9261352587495222,1234
6,"(1, 1)",0.518,0.034538223591969675,0.5,0.948192664612045,1234
